ido_word,esperanto_word,in_current_dict
Bernardino Rivadavia,Bernardino Rivadavia,False
Bernardo Bertolucci,Bernardo Bertolucci,False
Bernardo Houssay,Bernardo Houssay,False
Bernhard Riemann,Bernhard Riemann,False
Bernie Sanders,Bernie Sanders,False
Bertalan Szemere,Bertalan Szemere,False
Berthe Morisot,Berthe Morisot,False
Bertie Ahern,Bertie Ahern,False
Bertolt Brecht,Bertolt Brecht,False
Bertrand Russell,Bertrand Russell,False
Bessie Smith,Bessie Smith,False
Beth Carvalho,Beth Carvalho,False
"Bethesda, Maryland",Bethesda,False
Bette Davis,Bette Davis,False
Bettino Craxi,Bettino Craxi,False
Betty Carter,Betty Carter,False
Betty Friedan,Betty Friedan,False
Betty Williams,Betty Williams,False
Beverly Hills,Beverly Hills,False
Beyoncé Knowles,Beyoncé Knowles,False
Bhagavad Gita,Bagavadgito,False
Bharrat Jagdeo,Bharrat Jagdeo,False
Bhumibol Adulyadej,Phumiphon Adunjadet,False
Biała Podlaska,Biała Podlaska,False
Biała Rawska,Biała Rawska,False
Bibi Andersson,Bibi Andersson,False
Biblioteca Ambrosiana,Ambrozia librejo,False
Bidzina Ivanishvili,Bidzina Ivaniŝvili,False
Bielsk Podlaski,Bielsk Podlaski,False
"Bienvenida, Badajoz",Bienvenida,False
"Bigfork, Minnesota",Bigfork (Minesoto),False
Bill Clinton,William J. Clinton,False
Bill Gates,Bill Gates,False
Bill Haley,Bill Haley,False
Bill Irwin,Bill Irwin,False
Bill Murray,Bill Murray,False
Bill Viola,Bill Viola,False
Billie Eilish,Billie Eilish,False
Billie Holiday,Billie Holiday,False
Billy Connolly,Billy Connolly,False
Billy Idol,Billy Idol,False
Billy Joel,Billy Joel,False
Billy Wilder,Billy Wilder,False
"Biloxi, Mississippi",Biloxi,False
Bing Crosby,Bing Crosby,False
"Birmingham, Alabama",Birmingham (Alabamo),False
Bizancana Imperio,Bizanca imperio,False
Björk Guðmundsdóttir,Björk,False
Björn Borg,Björn Borg,False
Björn Ulvaeus,Björn Ulvaeus,False
Bjørnstjerne Bjørnson,Bjørnstjerne Bjørnson,False
Black Sabbath,Black Sabbath,False
Blade Runner,Blade Runner,False
Blaise Cendrars,Blaise Cendrars,False
Blaise Compaoré,Blaise Compaoré,False
Blaise Pascal,Blaise Pascal,False
Blake Clark,Blake Clark,False
Blanka Domo,Blanka Domo (Vaŝingtono),False
"Bloomfield, Kentucky",Bloomfield (Kentukio),False
"Bloomington, Illinois",Bloomington (Ilinojso),False
