ido_word,esperanto_word,in_current_dict,in_wiktionary
Politiko linguala,Lingvopolitiko,False,no
Polona linguo,Pola lingvo,False,no
Populi bantuo,Bantuoj,False,no
Populizita loko,Setlejo,False,no
Portebla komputero,Portebla komputilo,False,no
Portugalana linguo,Portugala lingvo,False,no
Poseidon,Posejdono,False,no
Potencial energio,Potenciala energio,False,no
Pozicionala nombrosistemo,Pozicia nombrosistemo,False,no
Pozitiva yuro,Pozitiva juro,False,no
Precoza metalo,Valormetalo,False,no
Predikatala logiko,Predikatkalkulo,False,no
Preso mezuro,Manometro,False,no
Prezidantala republiko,Prezidenta respubliko,False,no
Prima nombro,Primo,False,no
Primara partikulo,Elementa partiklo,False,no
Privata proprieto,Privata posedo,False,no
Privata yurocienco,Privata juro,False,no
Produktanta gramatiko,Genera gramatiko,False,no
Produktanta linguistiko,Generativa lingvistiko,False,no
Profunda lernado,Deep learning,False,no
Projektiva geometrio,Projekcia geometrio,False,no
Propozicionala logiko,Asertologiko,False,no
Protestanta reformo,Reformacio,False,no
Provencala linguo,Provenca lingvo,False,no
Publik administrado,Publika administrado,False,no
Publika domeno,Publika havaĵo,False,no
Publika extensajo,Publika spaco,False,no
Publika ordino,Publika ordo,False,no
Publika transporto,Publika transporto,False,no
Publika yurocienco,Publika juro,False,no
Punjabana linguo,Panĝaba lingvo,False,no
Pura matematiko,Pura matematiko,False,no
Puzlala videoludo,Puzla videoludo,False,no
Quadrata kilometro,Kvadrata kilometro,False,no
Quadrata milio,Kvadrata mejlo,False,no
